Price Dates,Bhindi (Ladies finger),Tomato,Onion,Potato,Brinjal,Garlic,Peas,Methi,Green Chilli,Elephant Yam (Suran)
21-02-2023,33.0,16,11.0,15,20,80,25,5,40.0,30
22-02-2023,33.0,16,11.0,14,20,80,30,6,30.0,30
23-02-2023,33.0,16,11.0,14,20,80,30,5,40.0,30
24-02-2023,33.0,16,11.0,14,30,85,30,6,40.0,25
26-02-2023,32.0,16,11.0,14,25,85,30,6,35.0,25
27-02-2023,37.0,16,11.0,13,16,85,30,6,40.0,25
28-02-2023,32.0,16,11.0,13,20,85,30,7,40.0,30
01-03-2023,30.0,16,11.0,13,20,85,30,6,50.0,30
02-03-2023,37.0,16,11.0,13,20,85,30,7,40.0,30
03-03-2023,32.0,16,12.0,14,20,85,25,8,40.0,20
05-03-2023,32.0,16,12.0,14,25,85,25,6,40.0,30
06-03-2023,32.0,16,13.0,14,14,85,30,7,40.0,25
08-03-2023,33.0,16,13.0,14,20,80,30,7,35.0,25
09-03-2023,32.0,16,13.0,14,16,80,30,5,60.0,30
10-03-2023,33.0,16,12.0,14,16,80,35,5,50.0,30
12-03-2023,32.0,16,12.0,14,20,80,35,6,35.0,25
13-03-2023,29.5,16,12.0,15,20,80,30,7,40.0,30
14-03-2023,35.0,16,12.0,14,20,80,35,6,40.0,30
15-03-2023,28.0,16,12.0,14,20,80,30,8,40.0,22
16-03-2023,37.0,16,12.0,13,25,80,30,6,40.0,30
17-03-2023,32.0,16,11.0,13,25,80,30,6,50.0,30
19-03-2023,37.0,16,11.0,13,20,80,35,7,45.0,25
20-03-2023,32.0,16,11.0,13,25,80,40,7,45.0,25
21-03-2023,32.0,16,12.0,13,25,80,40,6,45.0,30
22-03-2023,32.0,16,11.0,13,25,80,50,7,50.0,15
23-03-2023,37.0,16,11.0,13,20,80,50,7,50.0,15
24-03-2023,40.0,16,11.0,13,30,80,50,7,50.0,15
26-03-2023,32.0,16,11.0,14,25,80,50,8,50.0,20
27-03-2023,37.0,16,12.0,14,25,70,50,8,50.0,22
28-03-2023,32.0,16,10.0,14,25,70,50,10,50.0,30
29-03-2023,28.0,16,10.0,14,25,70,50,10,50.0,25
30-03-2023,32.0,16,9.0,13,25,70,60,10,50.0,20
31-03-2023,32.0,16,9.0,14,25,70,50,10,50.0,20
02-04-2023,32.0,16,8.0,14,25,70,70,10,50.0,30
03-04-2023,32.0,16,11.0,14,25,70,70,10,50.0,30
04-04-2023,37.0,16,12.0,15,25,70,60,12,50.0,20
05-04-2023,32.0,16,12.0,14,25,70,60,12,40.0,40
06-04-2023,32.0,16,11.0,15,25,70,60,10,40.0,30
07-04-2023,40.0,16,10.0,15,25,75,65,12,40.0,12
09-04-2023,32.0,16,9.0,16,25,85,60,12,40.0,25
